EDOPro_ID,Card_Name,Type,ATK,DEF,Level,Race,Attribute,Description
160002011,Beast Gear Moto Wolf,Monster,1400,400,4,32768,1,"A beast continually looting citizens of their food and gasoline. He might appear to be a lone wolf, ..."
160002012,Jet Barracuda,Monster,800,1000,3,131072,2,This creature uses jet propulsion to charge in shocking speeds. Some wonder whether it even is a fis...
160002013,Heat Dartfish,Monster,1000,500,3,131072,2,A fish with a proboscis that heats up when attacking. Its mild flavor makes it a true delicacy.
160002014,Harpie Girl (Rush),Monster,500,500,2,512,8,"A Harpie chick who aspires to flit about beautifully and gorgeously, but attack sharply."
160002015,Vishwar Randi (Rush),Monster,900,700,3,1,32,This lady warrior with unquenchable bloodlust serves the forces of darkness.
160002016,Sevens Road Mage,Monster,800,800,2,2,32,"[REQUIREMENT]
Send the top card of your Deck to the Graveyard.
[EFFECT]
1 face-up Level 7 or high..."
160002017,Lightning Voltcondor,Monster,2200,1000,7,512,16,"[REQUIREMENT]
Send 1 monster from your hand to the Graveyard.
[EFFECT]
All face-up monsters on yo..."
160002018,Full Meteor Impact,Monster,2500,0,7,256,4,"[REQUIREMENT]
If you have a face-up Level 7 or higher Spellcaster Type monster on your field during..."
160002019,Sportsdragon Defender,Monster,300,700,2,8192,1,"[REQUIREMENT]
If you have ""Sportsdragon Keeper"" on your field in Attack Position, send 1 card from ..."
160002020,Sportsdragon Striker,Monster,1300,200,4,8192,1,"[REQUIREMENT]
If you have ""Sportsdragon Keeper"" face-up on your field, send 1 card from your hand to..."
160002021,Shock Dragon,Monster,1600,2500,7,8192,4,"[REQUIREMENT]
Send the top card of your Deck to the Graveyard.
[EFFECT]
Until the end of this tur..."
160002022,Piercing Dragon Bunker Strike,Monster,2300,1800,7,8192,1,"[REQUIREMENT]
Send the top card of your Deck to the Graveyard during the turn you Normal Summoned t..."
160002023,Romanpick,Monster,500,0,1,1048576,16,"[REQUIREMENT]
If your LP are lower than your opponent's, pay 500 LP.
[EFFECT]
Send the top 3 card..."
160002024,Romic n' Roller,Monster,1700,0,6,1048576,32,"[REQUIREMENT]
Your LP are 2000 or lower.
[EFFECT]
All face-up monsters on your opponent's field l..."
160002025,Esperade the Smashing Superstar,Monster,2500,0,7,1048576,32,"[REQUIREMENT]
Your LP are 1000 or lower.
[EFFECT]
Destroy up to 2 monsters on your opponent's field."
160002026,Nandes the Fire Awakener,Monster,1200,1000,4,1,4,"[REQUIREMENT]
None
[EFFECT]
Change 1 face-up Defense Position Warrior Type monster on your field to ..."
160002027,Dian Keto the Boogie Master,Monster,2500,1000,8,64,16,"[REQUIREMENT]
Send 1 card from your hand to the Graveyard.
[EFFECT]
Gain 1000 LP."
160002028,Beast Gear Emperor Catapult Kong,Monster,2200,1700,7,32768,32,"[REQUIREMENT]
Send up to 2 face-up Beast-Warrior Type monsters other than this card from your field..."
160002029,Super King Rex,Monster,2500,2000,8,65536,1,"[REQUIREMENT]
During your Main Phase that you Normal or Special Summoned this card, send the top ca..."
160002030,Wicked Shadow Dark Lurker,Monster,100,2600,7,16,32,"[REQUIREMENT]
Send the top card of your Deck to the Graveyard.
[EFFECT]
Destroy 1 Spell/Trap Card..."
160002031,Royal Rebel's Heavy Metal,Monster,2500,0,8,8,16,"[REQUIREMENT]
During the turn you Normal Summoned this card by Tributing a Level 5 or higher monste..."
160002032,Hydro Cannon Big Bluefin,Monster,2200,2100,7,131072,2,"[REQUIREMENT]
Send 1 card from your hand to the Graveyard.
[EFFECT]
Up to 2 face-up Fish Type monste..."
160002033,Archfiend's Summoning Flute,Monster,0,0,1,8,32,"[REQUIREMENT]
You have no other monsters on your field and have 3 or more Normal Monsters in your G..."
160002034,Shaman Octopus,Monster,1000,0,3,131072,2,"[REQUIREMENT]
Pay 800 LP.
[EFFECT]
This card gains ATK equal to [the Level of 1 Normal Monster in..."
160002035,Innocent Lancer,Monster,1700,900,6,128,4,"[REQUIREMENT]
Send 1 card from your hand to the Graveyard.
[EFFECT]
If this card attacks a Defens..."
160002036,Road Magic - Tectonic Shift,Spell,0,0,0,0,0,"[REQUIREMENT]
If you have a face-up Level 7 or higher Spellcaster Type monster on your field, send ..."
160002037,Lullabind,Spell,0,0,0,0,0,"[REQUIREMENT]
You have 2 or more face-up Psychic Type monsters on your field.
[EFFECT]
Change 1 f..."
160002038,Party Party Party,Spell,0,0,0,0,0,"[REQUIREMENT]
None
[EFFECT]
Change all Attack Position Aqua Type monsters on your field to face-u..."
160002039,Apocalypse - Beast Gear World,Spell,0,0,0,0,0,"[REQUIREMENT]
None
[EFFECT]
While this card is face-up in the Field Zone, face-up Beast-Warrior, ..."
160002040,Thousand Knives (Rush),Spell,0,0,0,0,0,"[REQUIREMENT]
You have ""Dark Magician"" face-up on your field.
[EFFECT]
Destroy 1 monster on your ..."
160002041,Dark Magic Attack (Rush),Spell,0,0,0,0,0,"[REQUIREMENT]
You have ""Dark Magician"" face-up on your field.
[EFFECT]
Destroy all Spell/Trap Car..."
160002042,Blades of Divine Wind,Spell,0,0,0,0,0,"[REQUIREMENT]
None
[EFFECT]
Destroy 2 face-up Normal Monsters on your field and 1 face-up Level 8..."
160002043,Attribute Shift Bomb,Spell,0,0,0,0,0,"[REQUIREMENT]
Reveal 1 monster in your hand to your opponent.
[EFFECT]
This turn, the Attributes ..."
160002044,Blue Medicine (Rush),Spell,0,0,0,0,0,"[REQUIREMENT]
None
[EFFECT]
Gain 400 LP."
160002045,Party Time - Disco Ball,Trap,0,0,0,0,0,"[REQUIREMENT]
When your opponent Normal Summons a Level 5 or higher monster.
[EFFECT]
Special Sum..."
160002046,Rage and Conspiracy,Trap,0,0,0,0,0,"[REQUIREMENT]
When your opponent Normal Summons a monster while you have 2 or more different Types ..."
160002047,Siesta Hold,Trap,0,0,0,0,0,"[REQUIREMENT]
When your opponent Normal Summons a Level 4 or lower monster while they have no other..."
160002048,Phantom Bind,Trap,0,0,0,0,0,"[REQUIREMENT]
When an opponent's monster declares an attack.
[EFFECT]
The attacking monster loses..."
160002049,Double Block,Trap,0,0,0,0,0,"[REQUIREMENT]
When an opponent's monster declares an attack, send 2 Level 2 Normal Monsters from yo..."
160002050,Driving Snow (Rush),Trap,0,0,0,0,0,"[REQUIREMENT]
When a Trap Card(s) on your field is destroyed by an opponent's card effect.
[EFFECT]
..."
160003000,Summoned Skull (Rush),Monster,2500,1200,6,8,32,"A fiend with dark powers for confusing the enemy. Among the Fiend Type monsters, this monster boasts..."
160003001,Light Sorcerer,Monster,1500,0,4,2,16,"A spellcaster who has devoted himself to the heavens. He is wreathed in divine blessings, but what f..."
160003002,Scoop Scooter,Monster,0,200,1,32,1,Delivers the morning edition before breakfast! Also delivers the evening edition before breakfast!
160003003,Stock the Noodle Ninja,Monster,1000,1200,4,128,4,A ninja who prides himself on being al dente. He constantly trains himself to reach the hardness of ...
160003004,Mushroom Man (Rush),Monster,800,600,2,1024,1,"Found in humid regions, this creature attacks enemies with a lethal rain of poison spores."
160003005,Niwatori (Rush),Monster,900,800,3,512,1,Swallows enemies whole and uses their essence as energy.
160003006,Chu-Ske the Mouse Fighter (Rush),Monster,1200,0,3,16384,1,"A fiery mouse, travelling the world to become the strongest fighter in the world of mice. Be careful..."
160003007,Baby Dragon (Rush),Monster,1200,700,3,8192,8,"Much more than just a child, this dragon is gifted with untapped power."
160003008,Hitotsu-Me Giant (Rush),Monster,1200,1000,4,32768,1,"A one-eyed behemoth with thick, powerful arms made for delivering punishing blows."
160003009,Doriado (Rush),Monster,1200,1400,4,2,1,A spirit of the forest powered by the surrounding trees and wildlife.
160003010,Water Magician (Rush),Monster,1400,1000,4,64,2,This monster swamps an opponent with an almost endless supply of water.
160003011,Gazelle the King of Mythical Beasts (Rush),Monster,1500,1200,4,16384,1,This monster moves so fast that it looks like an illusion to mortal eyes.
160003012,Ojisan,Monster,1600,1600,5,131072,2,A tired old fish that can't seem to get rid of his aches.
160003013,Echeclus the Star Knight,Monster,1600,2000,6,8,16,"A man who carries the power of an evil star. He charges across the battlefield each day, filled with..."
160003014,Sparkhearts Girl,Monster,800,1200,3,2,4,"[REQUIREMENT]
Send 1 Level 4 or lower monster from your hand to the Graveyard.
[EFFECT]
1 face-up..."
160003015,Silver Wolf,Monster,1300,400,3,16384,1,"[REQUIREMENT]
If you have a face-up Beast Type monster on your field other than this card, send the..."
160003016,Beast Summoner,Monster,900,700,4,2,32,"[REQUIREMENT]
If your opponent has a face-up Level 6 or higher monster on their field, send this fa..."
160003017,"Sieth, the Scabbard of Noble Arms",Monster,1700,200,5,2,16,"[REQUIREMENT]
Place 4 Warrior and/or Spellcaster Type monsters from your Graveyard on the bottom of..."
160003018,Bendorbreak the Conqueror,Monster,1900,2500,7,16384,8,"[REQUIREMENT]
If [the number of face-up monsters on your opponent's field] and [the number of Spell..."
160003019,Savage Claw Tiger,Monster,2300,400,7,32768,1,"[REQUIREMENT]
Send the top card of your Deck to the Graveyard.
[EFFECT]
This card gains ATK equal..."
160003020,Treasure Dragon,Monster,1100,0,3,8192,1,"[REQUIREMENT]
You have 4 or more Dragon Type monsters in your Graveyard during your Main Phase that..."
160003021,Dragon Merchant,Monster,1000,500,4,8192,16,"[REQUIREMENT]
Send 1 card from your hand to the Graveyard.
[EFFECT]
1 face-up Level 6 or lower Dr..."
160003022,Clear Ice Dragon,Monster,1600,1600,6,8192,2,"[REQUIREMENT]
Place 1 Level 5 or lower Dragon Type monster from your Graveyard on the bottom of you..."
160003023,Burning Blaze Dragon,Monster,1800,0,6,8192,4,"[REQUIREMENT]
Place 1 Level 5 or lower Dragon Type monster from your Graveyard on the bottom of you..."
160003024,Ancient Arise Dragon,Monster,2400,1600,7,8192,2,"[REQUIREMENT]
Send the top card of your Deck to the Graveyard.
[EFFECT]
This card gains 600 ATK u..."
160003025,Illusion Strike Dragon Miragias,Monster,2500,1500,7,8192,32,"[REQUIREMENT]
Send 1 Level 7 or higher Dragon Type monster from your hand to the Graveyard.
[EFFEC..."
160003026,Kesshin the Dark Decimator,Monster,0,0,5,1,32,"[REQUIREMENT]
Send your entire hand to the Graveyard.
[EFFECT]
This card gains ATK equal to [the ..."
160003027,Seahorse Server,Monster,500,0,2,64,16,"[REQUIREMENT]
You have a face-up LIGHT Attribute Aqua Type Normal Monster on your field.
[EFFECT]..."
160003028,Seahorse Carrier,Monster,700,0,3,64,16,"[REQUIREMENT]
During the turn you Normal Summoned this card.
[EFFECT]
Add 1 LIGHT Attribute Aqua ..."
160003029,Vishwar Lambadi,Monster,1100,0,5,64,16,"[REQUIREMENT]
None
[EFFECT]
Add 1 ""Shining City Nights"" from your Graveyard to your hand.
"
160003030,Beast Gear Trike Fox,Monster,400,900,2,32768,1,"[REQUIREMENT]
You Normal Summoned this card this turn and your opponent has 3 monsters on their fie..."
160003031,Beast Gear King Convoy Liogon,Monster,2300,2000,8,32768,1,"[REQUIREMENT]
Send 2 face-up Level 4 or lower, Beast-Warrior Type monsters from your field to the G..."
160003032,Printing Presser,Monster,2300,1600,8,32,1,"[REQUIREMENT]
Send the top card of your Deck to the Graveyard.
[EFFECT]
Your opponent excavates t..."
160003033,Extra Spice the Elite Noodle Ninja,Monster,2400,0,8,128,4,"[REQUIREMENT]
Send 1 face-up Pyro Type Normal Monster from your field to the Graveyard.
[EFFECT]
..."
160003034,Anchor Moray,Monster,900,600,3,131072,2,"[REQUIREMENT]
You have ""Umi"" or ""Big Umi"" face-up on your field.
[EFFECT]
Add 1 Level 3 or lower ..."
160003035,Trick Pigeon,Monster,1000,1000,3,512,16,"[REQUIREMENT]
Send 1 Spell/Trap Card from your hand to the Graveyard.
[EFFECT]
Add 1 Winged Beast..."
160003036,Luminous Parrot,Monster,1200,600,4,512,16,"[REQUIREMENT]
If your opponent has 2 or more face-up monsters on their field, send the top card of ..."
160003037,Long Shield Gardna,Monster,1500,1200,5,1,1,"[REQUIREMENT]
Change this card's battle position (Attack Position becomes face-up Defense Position,..."
160003038,Eldign Patrol Ship,Monster,1700,700,6,32,2,"[REQUIREMENT]
Place 1 Normal Monster from your Graveyard on the bottom of your Deck.
[EFFECT]
Loo..."
160003039,Survival Swordfish,Monster,1800,0,6,131072,2,"[REQUIREMENT]
If you have a face-up Level 7 Fish Type monster on your field, place 1 Fish Type mons..."
160003040,Darkness Crested Hawk,Monster,2100,2300,7,512,32,"[REQUIREMENT]
If your opponent has a face-up LIGHT Attribute monster on their field, send the top c..."
160003041,Sea Dragon King Granganus,Monster,2500,1800,8,262144,2,"[REQUIREMENT]
During the turn you Normal Summoned this card.
[EFFECT]
Inflict damage to your oppo..."
160003042,Rightful Magic,Spell,0,0,0,0,0,"[REQUIREMENT]
You have 2 or more face-up monsters with the same Attribute on your field.
[EFFECT]..."
160003043,Dragon's Return,Spell,0,0,0,0,0,"[REQUIREMENT]
Shuffle 3 Dragon Type monsters from your Graveyard into the Deck.
[EFFECT]
Draw 1 c..."
160003044,Blazing Chestnut,Spell,0,0,0,0,0,"[REQUIREMENT]
You have a face-up Warrior Type monster on your field.
[EFFECT]
Send the top card o..."
160003045,The Noodle Art of Spicery,Spell,0,0,0,0,0,"[REQUIREMENT]
None
[EFFECT]
This turn, 1 face-up Pyro Type monster on your field gains 300 ATK, a..."
160003046,The Noodle Art of Savory,Spell,0,0,0,0,0,"[REQUIREMENT]
None
[EFFECT]
1 Attack Position monster on your opponent's field loses ATK equal to..."
160003047,Triple Threat Thunder,Spell,0,0,0,0,0,"[REQUIREMENT]
You have 3 face-up Aqua Type monsters on your field.
[EFFECT]
Change the original A..."
160003048,Shining City Nights,Spell,0,0,0,0,0,"[REQUIREMENT]
None
[EFFECT]
While this card is face-up in the Field Zone, face-up LIGHT Attribute..."
160003049,Aqua Boost,Spell,0,0,0,0,0,"[REQUIREMENT]
You have ""Umi"" or ""Big Umi"" face-up on your field.
[EFFECT]
1 face-up Fish Type mon..."
160003050,Big Umi,Spell,0,0,0,0,0,"[REQUIREMENT]
Activate this card if you have 3 face-up WATER Attribute monsters on your field.
[EF..."
160003051,Thousand Attack Rocket,Spell,0,0,0,0,0,"[REQUIREMENT]
Send the top card of your Deck to the Graveyard.
[EFFECT]
1 face-up Normal Monster ..."
160003052,Umi (Rush),Spell,0,0,0,0,0,"[REQUIREMENT]
None
[EFFECT]
While this card is face-up in the Field Zone, face-up Fish, Sea Serpe..."
160003053,Forest (Rush),Spell,0,0,0,0,0,"[REQUIREMENT]
None
[EFFECT]
While this card is face-up in the Field Zone, face-up Insect, Beast, ..."
160003054,Soul of a Reporter,Trap,0,0,0,0,0,"[REQUIREMENT]
When an Attack Position monster(s) on your field is destroyed by an opponent's attack..."
160003055,Bait Bite Ball,Trap,0,0,0,0,0,"[REQUIREMENT]
When an opponent's monster declares an attack.
[EFFECT]
All face-up monsters on you..."
160003056,Counter Shield,Trap,0,0,0,0,0,"[REQUIREMENT]
When an opponent's monster declares an attack targeting your face-up Normal Monster, ..."
160003057,Counter Pigeons,Trap,0,0,0,0,0,"[REQUIREMENT]
When an opponent's monster declares an attack targeting your Attack Position Winged B..."
160003058,Giant Tortoise of Greed,Trap,0,0,0,0,0,"[REQUIREMENT]
When your opponent Normal Summons a monster.
[EFFECT]
Draw 2 cards."
160003059,Triple Trio,Trap,0,0,0,0,0,"[REQUIREMENT]
When an opponent's monster declares an attack while you have 3 face-up Level 3 Normal..."
160003060,Faulty Fire,Trap,0,0,0,0,0,"[REQUIREMENT]
When a Spell/Trap Card(s) on your field is destroyed by an opponent's card effect.
[..."
160004000,Jinzo (Rush),Monster,2400,1500,6,32,32,"[REQUIREMENT]
None
[CONTINUOUS EFFECT]
Neither player can activate Trap Cards, and all Trap Card ..."
160004001,Constructor Soldier Drillzard,Monster,1100,800,3,8388608,1,A humanoid reincarnated from a dragon. His masterful strategy and deft hands help reduce constructio...
160004002,Constructor Warrior Shovelon,Monster,1500,0,4,8388608,1,A young warrior. Each day he passionately uses his shovel to dig up work sites.
160004003,Constructor Battler Big Roller,Monster,1900,600,6,8388608,1,"A veteran warrior. He uses six types of rollers in his work, but laymen cannot tell the difference b..."
160004004,Brassaxophone the Music Princess,Monster,1000,1200,3,1,8,"The heart and soul of the band. Her dynamic tones make her an excellent solo fighter, but she needs ..."
160004005,Flutomahawk the Music Princess,Monster,1500,0,4,1,8,The vanguard of the band. She creates beautiful melodies by swinging her axes through the air. Some ...
160004006,Bull Breaker,Monster,1200,800,4,32,1,"Incredibly useful on site, but the lease is exorbitant. Planning is the biggest part of the job."
160004007,Oppressed Ant,Monster,100,200,1,2048,2,"An ant who is oppressed, but believes it will have freedom someday."
160004008,United Ants,Monster,100,400,1,2048,8,Ants that gather to swear to fight their oppressors. A revolution is coming.
160004009,Ants Running About,Monster,100,600,1,2048,4,"Although they always suffer in silence, they swear an oath to inevitably revolt."
160004010,Tsuvolcano,Monster,0,1400,1,128,1,Here comes a magma-hot shiatsu massage! Pressure Point Eruption!
160004011,Enchanting Mermaid (Rush),Monster,1200,900,3,131072,2,A beautiful mermaid that lures voyagers to a watery grave.
160004012,Descendant of Titans,Monster,1000,0,1,8,16,"A successor of old gods. Skilled at hiding, few know of their existence."
160004013,Grace Princess Kana,Monster,200,1400,2,64,16,"Say, ""Ahh!"""
160004014,Silent Assailant,Monster,1500,0,4,1048576,32,An elusive assassin who undertakes dangerous missions while searching for her lost partner.
160004015,Steel Mech Lord Mirror Innovator,Monster,2400,1800,7,32,16,"[REQUIREMENT]
None
[EFFECT]
Choose up to 3 monsters in your Graveyard with the same Type as this ..."
160004016,Insurrection Dragon,Monster,0,0,7,8192,8,"[REQUIREMENT]
Place 4 Normal Monsters from your Graveyard on the bottom of your Deck in any order...."
160004017,Chemical Cure Blue,Monster,1300,400,4,1048576,2,"[REQUIREMENT]
Send the top card of your Deck to the Graveyard.
[EFFECT]
Gain 400 LP. Then, if you..."
160004018,Tama the Mancer Cat,Monster,0,1000,1,16384,32,"[REQUIREMENT]
You have another face-up monster with 0 ATK on your field.
[EFFECT]
Send the top 2 ..."
160004019,Modorina the Light Retriever,Monster,800,500,2,4,16,"[REQUIREMENT]
None
[EFFECT]
Return 1 face-up Level 7 or higher Warrior Type monster from your fie..."
160004020,Semeruler the Dark Summoner,Monster,2500,2000,8,1,32,"[REQUIREMENT]
Send 1 card from your hand to the Graveyard.
[EFFECT]
Special Summon 1 monster with..."
160004021,Wyrm Excavator the Heavy Cavalry Draco [L],Monster,800,0,3,8388608,1,"[REQUIREMENT]
Maximum Mode
[CONTINUOUS EFFECT]
This card gains ATK equal to [the number of cards ..."
160004022,Wyrm Excavator the Heavy Cavalry Draco,Monster,2500,0,10,8388608,1,"MAXIMUM ATK = 3500
You can Maximum Summon this card together with ""Wyrm Excavator the Heavy Cavalry..."
160004023,Wyrm Excavator the Heavy Cavalry Draco [R],Monster,800,0,3,8388608,1,"[REQUIREMENT]
Maximum Mode: Place 1 card from your Graveyard on the bottom of the Deck.
[EFFECT]
..."
160004024,Constructor Wyrm Buildragon,Monster,2500,2000,8,8388608,1,"[REQUIREMENT]
A face-up Field Spell Card is on the field.
[EFFECT]
Special Summon 1 Wyrm Type Nor..."
160004025,Picklon the Constructor Fairy,Monster,200,1000,3,8388608,1,"[REQUIREMENT]
Send 1 Wyrm Type monster from your hand to the Graveyard.
[EFFECT]
Draw 1 card."
